h3name,entity,category
HCRSSHOT,sharpshooter,creature:neutral
HCRSWNCE,sharpshooter,creature:neutral
HGOBATTK,hobgoblin,creature:stronghold
HGOBDFND,hobgoblin,creature:stronghold
HGOBKILL,hobgoblin,creature:stronghold
HGOBMOVE,hobgoblin,creature:stronghold
HGOBWNCE,hobgoblin,creature:stronghold
HGWRATTK,hobgoblinWolfRider,creature:stronghold
HGWRDFND,hobgoblinWolfRider,creature:stronghold
HGWRKILL,hobgoblinWolfRider,creature:stronghold
HGWRMOVE,hobgoblinWolfRider,creature:stronghold
HGWRWNCE,hobgoblinWolfRider,creature:stronghold
HHAGATTK,harpyHag,creature:dungeon
HHAGDFND,harpyHag,creature:dungeon
HHAGKILL,harpyHag,creature:dungeon
HHAGMOVE,harpyHag,creature:dungeon
HHAGSHOT,harpyHag,creature:dungeon
HHAGWNCE,harpyHag,creature:dungeon
HHNDATTK,hellHound,creature:inferno
HHNDDFND,hellHound,creature:inferno
HHNDKILL,hellHound,creature:inferno
HHNDMOVE,hellHound,creature:inferno
HHNDWNCE,hellHound,creature:inferno
HORSE00,horseDirt,misc
HORSE01,horseSand,misc
HORSE02,horseGrass,misc
HORSE03,horseSnow,misc
HORSE04,horseSwamp,misc
HORSE05,horseRough,misc
HORSE06,horseSubterranean,misc
HORSE07,horseLava,misc
HORSE08,horseWater,misc
HORSE09,horseRock,misc
HORSE10,horseFly,misc
HORSE20,horsePenaltyDirt,misc
HORSE21,horsePenaltySand,misc
HORSE22,horsePenaltyGrass,misc
HORSE23,horsePenaltySnow,misc
HORSE24,horsePenaltySwamp,misc
HORSE25,horsePenaltyRough,misc
HORSE26,horsePenaltySubterranean,misc
HORSE27,horsePenaltyLava,misc
HORSE29,horsePenaltyRock,misc
HYDRATTK,hydra,creature:fortress
HYDRDFND,hydra,creature:fortress
HYDRKILL,hydra,creature:fortress
HYDRMOVE,hydra,creature:fortress
HYDRWNCE,hydra,creature:fortress
HYPNOTIZ,hypnotize,spell
ICELATTK,iceElemental,creature:conflux
ICELDFND,iceElemental,creature:conflux
ICELKILL,iceElemental,creature:conflux
ICELMOVE,iceElemental,creature:conflux
ICELSHOT,iceElemental,creature:conflux
ICELWNCE,iceElemental,creature:conflux
ICERAY,iceBolt,spell
ICERAYEX,ICERAYEX,misc
IGLMATTK,ironGolem,creature:tower
IGLMDFND,ironGolem,creature:tower
IGLMKILL,ironGolem,creature:tower
IGLMMOVE,ironGolem,creature:tower
IGLMWNCE,ironGolem,creature:tower
IMPPATTK,imp,creature:inferno
IMPPDFND,imp,creature:inferno
IMPPKILL,imp,creature:inferno
IMPPMOVE,imp,creature:inferno
IMPPWNCE,imp,creature:inferno
ITRGATTK,infernalTroglodyte,creature:dungeon
ITRGDFND,infernalTroglodyte,creature:dungeon
ITRGKILL,infernalTroglodyte,creature:dungeon
ITRGMOVE,infernalTroglodyte,creature:dungeon
ITRGWNCE,infernalTroglodyte,creature:dungeon
KEEPSHOT,KEEPShot,misc
KILLFADE,KillFade,misc
LANDKILL,landMineTrigger,spell
LANDMINE,LANDMINE,misc
LCRSATTK,archer,creature:castle
LCRSDFND,archer,creature:castle
LCRSKILL,archer,creature:castle
LCRSMOVE,archer,creature:castle
LCRSSHOT,archer,creature:castle
LCRSWNCE,archer,creature:castle
LICHATK2,LICHATK2,misc
LICHATTK,lich,creature:necropolis
LICHDFND,lich,creature:necropolis
LICHKILL,lich,creature:necropolis
LICHMOVE,lich,creature:necropolis
LICHSHOT,lich,creature:necropolis
LICHWNCE,lich,creature:necropolis
LIGHTBLT,lightningBolt,spell
LIGHTHOUSE,LIGHTHOUSE,misc
LOOPAIR,LOOPAIR,misc
LOOPANIM,LOOPANIM,misc
LOOPARCH,LOOPARCH,misc
LOOPAREN,LOOPAREN,misc
LOOPBEHE,LOOPBEHE,misc
LOOPBIRD,LOOPBIRD,misc
LOOPBUOY,LOOPBUOY,misc
LOOPCAMP,LOOPCAMP,misc
LOOPCAVE,LOOPCAVE,misc
LOOPCRYS,LOOPCRYS,misc
LOOPCURS,LOOPCURS,misc
LOOPDEAD,LOOPDEAD,misc
LOOPDEN,LOOPDEN,misc
LOOPDEVL,LOOPDEVL,misc
LOOPDOG,LOOPDOG,misc
LOOPDRAG,LOOPDRAG,misc
LOOPDWAR,LOOPDWAR,misc
LOOPEART,LOOPEART,misc
LOOPELF,LOOPELF,misc
LOOPFACT,LOOPFACT,misc
LOOPFAER,LOOPFAER,misc
LOOPFALL,LOOPFALL,misc
LOOPFIRE,LOOPFIRE,misc
LOOPFLAG,LOOPFLAG,misc
LOOPFOUN,LOOPFOUN,misc
LOOPGARD,LOOPGARD,misc
LOOPGATE,LOOPGATE,misc
LOOPGEMP,LOOPGEMP,misc
LOOPGOBL,LOOPGOBL,misc
LOOPGREM,LOOPGREM,misc
LOOPGRIF,LOOPGRIF,misc
LOOPHARP,LOOPHARP,misc
LOOPHORS,LOOPHORS,misc
LOOPHYDR,LOOPHYDR,misc
LOOPLEAR,LOOPLEAR,misc
LOOPLEPR,LOOPLEPR,misc
LOOPLUMB,LOOPLUMB,misc
LOOPMAGI,LOOPMAGI,misc
LOOPMANT,LOOPMANT,misc
LOOPMARK,LOOPMARK,misc
LOOPMEDU,LOOPMEDU,misc
LOOPMERC,LOOPMERC,misc
LOOPMILL,LOOPMILL,misc
LOOPMINE,LOOPMINE,misc
LOOPMON1,LOOPMON1,misc
LOOPMON2,LOOPMON2,misc
LOOPMONK,LOOPMONK,misc
LOOPMONS,LOOPMONS,misc
LOOPNAGA,LOOPNAGA,misc
LOOPOCEA,LOOPOCEA,misc
LOOPOGRE,LOOPOGRE,misc
LOOPORC,LOOPORC,misc
LOOPPEGA,LOOPPEGA,misc
LOOPPIKE,LOOPPIKE,misc
LOOPSANC,LOOPSANC,misc
LOOPSHRIN,LOOPSHRIN,misc
LOOPSIRE,LOOPSIRE,misc
LOOPSKEL,LOOPSKEL,misc
LOOPSTAR,LOOPSTAR,misc
LOOPSULF,LOOPSULF,misc
LOOPSWAR,LOOPSWAR,misc
LOOPSWOR,LOOPSWOR,misc
LOOPTAV,LOOPTAV,misc
LOOPTITA,LOOPTITA,misc
LOOPUNIC,LOOPUNIC,misc
LOOPVENT,LOOPVENT,misc
LOOPVOLC,LOOPVOLC,misc
LOOPWHIR,LOOPWHIR,misc
LOOPWIND,LOOPWIND,misc
LOOPWOLF,LOOPWOLF,misc
LTITATTK,giant,creature:tower
LTITDFND,giant,creature:tower
LTITKILL,giant,creature:tower
LTITMOVE,giant,creature:tower
LTITWNCE,giant,creature:tower
LUCK,LUCK,misc
MAGCAROW,MAGCAROW,misc
MAGCHDRN,MAGCHDRN,misc
MAGCHFIL,MAGCHFIL,misc
MAGEATTK,mage,creature:tower
MAGEDFND,mage,creature:tower
MAGEKILL,mage,creature:tower
MAGEMOVE,mage,creature:tower
MAGESHOT,mage,creature:tower
MAGEWNCE,mage,creature:tower
MAGICBLT,magicArrow,spell
MAGICRES,MAGICRES,misc
MAGMATTK,magmaElemental,creature:conflux
MAGMDFND,magmaElemental,creature:conflux
MAGMKILL,magmaElemental,creature:conflux
MAGMMOVE,magmaElemental,creature:conflux
MAGMWNCE,magmaElemental,creature:conflux
MANADRAI,MANADRAI,misc
MANTATTK,manticore,creature:dungeon
MANTDFND,manticore,creature:dungeon
MANTKILL,manticore,creature:dungeon
MANTMOVE,manticore,creature:dungeon
MANTSHOT,manticore,creature:dungeon
MANTWNCE,manticore,creature:dungeon
MEDQATTK,medusaQueen,creature:dungeon
MEDQDFND,medusaQueen,creature:dungeon
MEDQKILL,medusaQueen,creature:dungeon
MEDQMOVE,medusaQueen,creature:dungeon
MEDQSHOT,medusaQueen,creature:dungeon
MEDQWNCE,medusaQueen,creature:dungeon
MEDUATTK,medusa,creature:dungeon
MEDUDFND,medusa,creature:dungeon
MEDUKILL,medusa,creature:dungeon
MEDUMOVE,medusa,creature:dungeon
MEDUSHOT,medusa,creature:dungeon
MEDUWNCE,medusa,creature:dungeon
METEOR,meteorShower,spell
MGELATTK,magicElemental,creature:conflux
MGELDFND,magicElemental,creature:conflux
MGELKILL,magicElemental,creature:conflux
MGELMOVE,magicElemental,creature:conflux
MGELWNCE,magicElemental,creature:conflux
MGOGATTK,magog,creature:inferno
MGOGDFND,magog,creature:inferno
MGOGKILL,magog,creature:inferno
MGOGMOVE,magog,creature:inferno
MGOGSHOT,MGOGShot,misc
MGOGWNCE,magog,creature:inferno
MGRMATTK,masterGremlin,creature:tower
MGRMDFND,masterGremlin,creature:tower
MGRMKILL,masterGremlin,creature:tower
MGRMMOVE,masterGremlin,creature:tower
MGRMSHOT,masterGremlin,creature:tower
MGRMWNCE,masterGremlin,creature:tower
MILITARY,MILITARY,misc
MINKATTK,minotaurKing,creature:dungeon
MINKDFND,minotaurKing,creature:dungeon
MINKKILL,minotaurKing,creature:dungeon
MINKMOVE,minotaurKing,creature:dungeon
MINKSHOT,minotaurKing,creature:dungeon
MINKWNCE,minotaurKing,creature:dungeon
MINOATTK,minotaur,creature:dungeon
MINODFND,minotaur,creature:dungeon
MINOKILL,minotaur,creature:dungeon
MINOMOVE,minotaur,creature:dungeon
MINOWNCE,minotaur,creature:dungeon
MIRRORIM,MIRRORIM,misc
MIRTH,mirth,spell
MISFORT,misfortune,spell
MNRDEATH,MNRDEATH,misc
MONKATTK,monk,creature:castle
MONKDFND,monk,creature:castle
MONKKILL,monk,creature:castle
MONKMOVE,monk,creature:castle
MONKSHOT,monk,creature:castle
MONKWNCE,monk,creature:castle
MORALE,MORALE,misc
MUCKMIRE,slow,spell
MUMYATTK,mummy,creature:neutral
MUMYDFND,mummy,creature:neutral
MUMYKILL,mummy,creature:neutral
MUMYMOVE,mummy,creature:neutral
MUMYWNCE,mummy,creature:neutral
MYSTERY,MYSTERY,misc
NEWDAY,newDay,misc
NEWMONTH,newMonth,misc
NEWWEEK,newWeek,misc
NGRDATTK,nagaQueen,creature:tower
NGRDDFND,nagaQueen,creature:tower
NGRDKILL,nagaQueen,creature:tower
NGRDMOVE,nagaQueen,creature:tower
NGRDWNCE,nagaQueen,creature:tower
NMADATTK,nomad,creature:neutral
NMADDFND,nomad,creature:neutral
NMADKILL,nomad,creature:neutral
NMADMOVE,nomad,creature:neutral
NMADWNCE,nomad,creature:neutral
NOMAD,NOMAD,misc
NOSFATTK,vampireLord,creature:necropolis
NOSFDFND,vampireLord,creature:necropolis
NOSFEXT1,vampireLord,creature:necropolis
NOSFEXT2,vampireLord,creature:necropolis
NOSFKILL,vampireLord,creature:necropolis
NOSFMOVE,vampireLord,creature:necropolis
